topic|name|purpose|template
Project Initialization and Planning|Project setup|Get a file structure & dependencies for a new project|I'm starting a new {type of project} using {programming language/framework}. Can you suggest a basic file structure and essential dependencies I should consider?
Project Initialization and Planning|Knowledge base creation|Build a project-specific AI knowledge base|I'm starting a new project and I'd like to create a knowledge base for you to reference throughout our development process. The project is {brief description}. We'll be using {tech stack}. The key features we need to implement are {list features}. Some important constraints to keep in mind are {list constraints}. In terms of coding style, we prefer {mention preferences}. Can you summarize this information and suggest any additional details we should include in our knowledge base?
Project Initialization and Planning|Project breakdown|Break down project into components with functionality & challenges|Based on the project overview we just created, can you help me break down this project into manageable components or modules? For each component, please suggest: 1. A name for the component 2. Its main functionality 3. Potential challenges in implementing it 4. How it might interact with other components. Please also recommend a logical order for developing these components.
Project Initialization and Planning|Roadmap creation|Build a project roadmap with milestones & dependencies|Using the component breakdown we've created, can you help me develop a project roadmap? Please include: 1. A suggested order for developing the components 2. Estimated time frames for each component (assuming I'm working on this part-time) 3. Potential milestones or checkpoints 4. Any dependencies between components that might affect the development order 5. Suggestions for any proof-of-concept or prototype stages that might be beneficial.
Project Initialization and Planning|Risk assessment|Identify risks & propose mitigation strategies|Based on our project plan, can you identify potential risks or challenges we might face during development? For each risk, suggest possible mitigation strategies.
Project Initialization and Planning|Technology selection|Compare candidate technologies|We're considering using {Technology A} or {Technology B} for {specific functionality}. Can you compare these options in the context of our project, considering factors like performance, ease of implementation, and future scalability?
Project Initialization and Planning|Scope estimation|Estimate time & resources needed|Given our project requirements and component breakdown, can you help me estimate the overall scope of this project? Please provide a rough estimate of the total development time and suggest any areas where we might need to adjust our expectations or seek additional resources.
Design and Architecture|Step-by-step architecture|Guide structured system design|Let's think step-by-step about the architecture for {specific component or system}. Please consider: 1. The main functionalities this component needs to support 2. Potential data structures or models 3. Key classes or modules and their responsibilities 4. How this component will interact with other parts of the system 5. Potential design patterns that could be applicable 6. Considerations for scalability and maintainability. For each step, provide a brief explanation of your reasoning.
Design and Architecture|Iterating on design|Refine an initial design with alternatives & drawbacks|Thank you for that initial design. I have a few follow-up questions: 1. What are the potential drawbacks or limitations of this approach? 2. Can you suggest an alternative design that prioritizes {specific concern, e.g., performance, flexibility}? 3. How would this design need to change if we needed to {potential future requirement}?
Design and Architecture|Architecture Decision Record (ADR)|Document architecture decisions|Based on our discussion of the {component/system} architecture, can you help me create an Architecture Decision Record (ADR)? Please include: 1. The context and problem we're addressing 2. The options we considered 3. The decision we made 4. The consequences (both positive and negative) of this decision 5. Any related decisions or trade-offs.
